event_message,id,identifier,method,path,search,status_code,timestamp
HEAD | 200 | 54.220.170.6 | 99c5878f0f3ac204 | https://bnhtldbrdryispihzqns.supabase.co/rest-admin/v1/ready | @supabase-infra/mgmt-api/b032c69,7a4868f7-8176-44d1-8ca3-9b13639dcc79,bnhtldbrdryispihzqns,HEAD,/rest-admin/v1/ready,null,200,1762777494900000
GET | 200 | 54.220.170.6 | 99c5878f085db1a4 | https://bnhtldbrdryispihzqns.supabase.co/auth/v1/health | @supabase-infra/mgmt-api/b032c69,d855af5b-276f-48f7-868a-274345cb3cd1,bnhtldbrdryispihzqns,GET,/auth/v1/health,null,200,1762777494892000
HEAD | 200 | 52.208.68.191 | 99c585acac741b7c | https://bnhtldbrdryispihzqns.supabase.co/rest-admin/v1/ready | @supabase-infra/mgmt-api/b032c69,0abb6042-952e-467f-87a6-03df661f2b4a,bnhtldbrdryispihzqns,HEAD,/rest-admin/v1/ready,null,200,1762777417717000
GET | 200 | 52.208.68.191 | 99c585acaaaabe16 | https://bnhtldbrdryispihzqns.supabase.co/auth/v1/health | @supabase-infra/mgmt-api/b032c69,def2999d-308a-4b24-9ad0-7aeba1e76fb1,bnhtldbrdryispihzqns,GET,/auth/v1/health,null,200,1762777417715000
GET | 200 | 54.220.170.6 | 99c5858a3de9715a | https://bnhtldbrdryispihzqns.supabase.co/storage/v1/bucket | @supabase-infra/mgmt-api/b032c69,6a45ef8e-c1e0-406b-b0dd-a43a78d9c50d,bnhtldbrdryispihzqns,GET,/storage/v1/bucket,null,200,1762777412216000
GET | 200 | 52.208.68.191 | 99c58405de3d954f | https://bnhtldbrdryispihzqns.supabase.co/storage/v1/bucket | @supabase-infra/mgmt-api/b032c69,15bc0807-80d5-472b-b312-0b9124574e2a,bnhtldbrdryispihzqns,GET,/storage/v1/bucket,null,200,1762777350071000
GET | 200 | 54.73.94.38 | 99c582ad0c7256eb | https://bnhtldbrdryispihzqns.supabase.co/auth/v1/health | @supabase-infra/mgmt-api/b032c69,0de7380b-d4a6-4d9d-b301-8dcd1b1d0ec7,bnhtldbrdryispihzqns,GET,/auth/v1/health,null,200,1762777294894000
HEAD | 200 | 54.73.94.38 | 99c582acfac48bdf | https://bnhtldbrdryispihzqns.supabase.co/rest-admin/v1/ready | @supabase-infra/mgmt-api/b032c69,e9cb8d79-1070-4822-be55-93780e949d72,bnhtldbrdryispihzqns,HEAD,/rest-admin/v1/ready,null,200,1762777294877000
"GET | 200 | 90.229.177.243 | 99c5828dfb6beb54 | https://bnhtldbrdryispihzqns.supabase.co/rest/v1/pantry_items?select=*&order=created_at.asc | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",afbe03f7-eb99-4a4d-b0cf-91f7cf832aeb,bnhtldbrdryispihzqns,GET,/rest/v1/pantry_items,?select=*&order=created_at.asc,200,1762777289925000
"DELETE | 204 | 90.229.177.243 | 99c582808d4aeb54 | https://bnhtldbrdryispihzqns.supabase.co/rest/v1/pantry_items?id=neq.00000000-0000-0000-0000-000000000000 | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",3450ff81-f30e-4d1e-9237-afcb00156649,bnhtldbrdryispihzqns,DELETE,/rest/v1/pantry_items,?id=neq.00000000-0000-0000-0000-000000000000,204,1762777287777000
"OPTIONS | 200 | 90.229.177.243 | 99c582803caceb54 | https://bnhtldbrdryispihzqns.supabase.co/rest/v1/pantry_items?id=neq.00000000-0000-0000-0000-000000000000 | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",83208e2c-927c-4f89-81ad-e3fe1d2d338d,bnhtldbrdryispihzqns,OPTIONS,/rest/v1/pantry_items,?id=neq.00000000-0000-0000-0000-000000000000,200,1762777287722000
"PATCH | 200 | 90.229.177.243 | 99c57fefe9c5daa7 | https://bnhtldbrdryispihzqns.supabase.co/rest/v1/pantry_items?id=eq.947981db-af16-4d0e-baf6-3010dd9a127f&select=* | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",eaf92526-617e-42a7-8a8d-89189ecf1375,bnhtldbrdryispihzqns,PATCH,/rest/v1/pantry_items,?id=eq.947981db-af16-4d0e-baf6-3010dd9a127f&select=*,200,1762777182716000
"GET | 200 | 90.229.177.243 | 99c57fd32ca1daa7 | https://bnhtldbrdryispihzqns.supabase.co/rest/v1/pantry_items?select=*&order=created_at.asc | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",88dce9cf-9341-48ed-8211-7c65c67ee802,bnhtldbrdryispihzqns,GET,/rest/v1/pantry_items,?select=*&order=created_at.asc,200,1762777178113000
