detail,error_severity,event_message,hint,id,identifier,timestamp
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba_users_public.conf:9)",null,c2c1a30b-488a-4323-819e-5f256e03d445,bnhtldbrdryispihzqns,1762777651261000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=undefined SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,45717287-687f-4c5c-9663-9e07c66e47a0,bnhtldbrdryispihzqns,1762777651261000
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba_users_public.conf:9)",null,1d369113-8be2-47ec-a4b7-652cd164c87f,bnhtldbrdryispihzqns,1762777651243000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=undefined SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,e10b64bb-950b-4327-8e00-0613c66054d1,bnhtldbrdryispihzqns,1762777651243000
null,LOG,connection authorized: user=supabase_admin database=postgres application_name=postgres_exporter,null,3f7b76ae-d77a-49e3-bca3-e738ccd99f40,bnhtldbrdryispihzqns,1762777648351000
null,LOG,"connection authenticated: user=""supabase_admin"" method=trust (/etc/postgresql/pg_hba.conf:8)",null,7b775a00-6cc9-48ea-b8d3-ba7cf112f438,bnhtldbrdryispihzqns,1762777648351000
null,LOG,connection received: host=::1 port=8281,null,ae7eefe6-a7e8-4ef2-b373-6190b2ba4e62,bnhtldbrdryispihzqns,1762777648350000
null,LOG,connection authorized: user=supabase_admin database=postgres application_name=postgres_exporter,null,e5f4641a-714e-4341-bea0-5050e99f5964,bnhtldbrdryispihzqns,1762777588352000
null,LOG,"connection authenticated: user=""supabase_admin"" method=trust (/etc/postgresql/pg_hba.conf:8)",null,ef1201bb-2b25-4615-97a8-6f2db22e440f,bnhtldbrdryispihzqns,1762777588352000
null,LOG,connection received: host=::1 port=10011,null,bc5d3661-774c-48e2-b487-cb18e7a86ec6,bnhtldbrdryispihzqns,1762777588351000
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba_users_public.conf:9)",null,5155d38b-f71b-484e-bfd3-997c050e91c7,bnhtldbrdryispihzqns,1762777571541000
